# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
231701239 227.49658 +16.90526 22.49641 +56.42957 4684 1.43 -2.18 -137 0.91369 -3.68 0.98 1.16 0.127 11.295 9.33 3.86 5.32 7.80 3.79 8.67 -12.54
296304205 141.82153 +3.42948 229.63940 +35.86689 4720 1.50 -2.37 219 0.73310 -3.92 0.60 0.64 0.044 11.225 10.48 2.67 3.33 6.16 14.97 16.19 -13.84
212712216 164.67061 +29.17251 201.56841 +65.12069 4267 0.70 -2.18 37 1.69936 -4.76 0.62 0.98 0.209 13.863 48.17 17.49 15.92 43.72 27.86 51.84 -17.78
232105222 213.08672 +22.46165 23.10057 +71.07824 4632 1.21 -2.11 -96 0.50877 -4.00 0.86 1.06 0.048 11.739 13.75 5.31 6.68 13.03 4.27 13.72 -13.38
46414132 244.30675 +38.42602 61.27659 +45.88396 4440 0.90 -2.18 -100 0.29952 -4.96 0.38 0.50 0.145 12.402 27.76 5.71 5.31 19.96 16.99 26.21 -15.18
66112230 0.86604 +4.93936 101.26081 -55.90069 4690 1.60 -2.30 -25 0.20287 -3.60 1.04 1.60 0.090 12.492 15.86 8.27 9.75 -13.11 13.07 18.51 -13.99
343516250 183.07585 +19.29304 251.97247 +78.08295 4622 1.23 -2.21 -6 0.52567 -4.30 0.62 0.72 0.099 13.417 33.39 9.42 11.03 32.69 12.07 34.85 -14.56
148705060 250.41336 +54.60781 82.99752 +40.41096 4573 1.13 -1.45 -131 0.87719 -3.98 0.60 0.62 0.087 10.511 7.60 1.89 2.42 4.95 9.28 10.52 -12.29
19609236 180.64743 +6.97931 270.79414 +66.75279 4505 0.84 -2.25 82 1.05935 -4.12 0.94 1.26 0.061 13.295 29.57 13.02 16.02 27.20 14.06 30.62 -16.00
151007020 256.23874 +37.34934 60.90886 +36.41649 4568 1.09 -2.26 -153 0.16165 -4.38 0.66 0.84 0.116 11.334 13.17 4.23 4.68 7.85 9.69 12.47 -13.16
28415115 167.15428 +30.61618 197.98150 +67.27212 4339 0.63 -2.13 52 -0.39272 -5.30 0.22 0.34 0.065 12.481 34.93 5.06 3.72 32.24 21.25 38.61 -16.71
213008080 70.75767 +20.56758 178.70513 -16.41678 3908 1.58 -1.30 -132 2.42934 -5.90 0.18 0.28 0.231 10.989 21.46 2.60 1.85 -6.04 28.58 29.21 -15.42
234004051 214.67014 +15.60902 7.74844 +66.70763 4744 1.59 -2.22 -106 0.57378 -3.62 0.82 0.92 0.097 10.725 7.07 2.44 3.24 6.52 5.24 8.37 -11.29
131407076 216.95203 -1.48175 345.83223 +53.16794 4671 1.40 -2.24 75 0.78538 -3.86 0.86 0.96 0.069 10.596 7.54 2.69 3.66 6.06 3.78 7.15 -12.59
128306020 197.19354 +36.94472 103.53459 +79.52203 4698 1.38 -2.25 65 0.60232 -3.80 0.86 1.00 0.096 10.489 6.89 2.54 3.35 6.81 8.38 10.80 -13.51
